river,test_site,year,measurement_type,result,river_and_test_site
Thurso,Inshag,2019,Biomass Density,4.27,THURSO Inshag
Thurso,Inshag,2019,ph,NA,THURSO Inshag
Thurso,Inshag,2019,conductivity,NA,THURSO Inshag
Thurso,Inshag,2020,Numerical Density,3.19,THURSO Inshag
Thurso,Inshag,2020,Biomass Density,4.82,THURSO Inshag
Thurso,Inshag,2020,ph,NA,THURSO Inshag
Thurso,Inshag,2020,conductivity,NA,THURSO Inshag
Thurso,Inshag,2021,Numerical Density,1.5,THURSO Inshag
Thurso,Inshag,2021,Biomass Density,5.99,THURSO Inshag
Thurso,Inshag,2021,ph,NA,THURSO Inshag
Thurso,Inshag,2021,conductivity,NA,THURSO Inshag
Thurso,Pipe Bridge,2013,Numerical Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2013,Biomass Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2013,ph,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2013,conductivity,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2014,Numerical Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2014,Biomass Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2014,ph,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2014,conductivity,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2015,Numerical Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2015,Biomass Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2015,ph,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2015,conductivity,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2016,Numerical Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2016,Biomass Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2016,ph,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2016,conductivity,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2017,Numerical Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2017,Biomass Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2017,ph,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2017,conductivity,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2018,Numerical Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2018,Biomass Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2018,ph,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2018,conductivity,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2019,Numerical Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2019,Biomass Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2019,ph,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2019,conductivity,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2020,Numerical Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2020,Biomass Density,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2020,ph,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2020,conductivity,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2021,Numerical Density,1.57,THURSO Pipe Bridge
Thurso,Pipe Bridge,2021,Biomass Density,4.74,THURSO Pipe Bridge
Thurso,Pipe Bridge,2021,ph,NA,THURSO Pipe Bridge
Thurso,Pipe Bridge,2021,conductivity,NA,THURSO Pipe Bridge
Thurso,Tulach More,2013,Numerical Density,NA,THURSO Tulach More
Thurso,Tulach More,2013,Biomass Density,NA,THURSO Tulach More
Thurso,Tulach More,2013,ph,NA,THURSO Tulach More
Thurso,Tulach More,2013,conductivity,NA,THURSO Tulach More
Thurso,Tulach More,2014,Numerical Density,NA,THURSO Tulach More
Thurso,Tulach More,2014,Biomass Density,NA,THURSO Tulach More
Thurso,Tulach More,2014,ph,NA,THURSO Tulach More
Thurso,Tulach More,2014,conductivity,NA,THURSO Tulach More
Thurso,Tulach More,2015,Numerical Density,NA,THURSO Tulach More
Thurso,Tulach More,2015,Biomass Density,NA,THURSO Tulach More
Thurso,Tulach More,2015,ph,NA,THURSO Tulach More
Thurso,Tulach More,2015,conductivity,NA,THURSO Tulach More
Thurso,Tulach More,2016,Numerical Density,NA,THURSO Tulach More
Thurso,Tulach More,2016,Biomass Density,NA,THURSO Tulach More
Thurso,Tulach More,2016,ph,NA,THURSO Tulach More
Thurso,Tulach More,2016,conductivity,NA,THURSO Tulach More
Thurso,Tulach More,2017,Numerical Density,NA,THURSO Tulach More
Thurso,Tulach More,2017,Biomass Density,NA,THURSO Tulach More
Thurso,Tulach More,2017,ph,NA,THURSO Tulach More
Thurso,Tulach More,2017,conductivity,NA,THURSO Tulach More
Thurso,Tulach More,2018,Numerical Density,NA,THURSO Tulach More
Thurso,Tulach More,2018,Biomass Density,NA,THURSO Tulach More
Thurso,Tulach More,2018,ph,NA,THURSO Tulach More
Thurso,Tulach More,2018,conductivity,NA,THURSO Tulach More
Thurso,Tulach More,2019,Numerical Density,NA,THURSO Tulach More
Thurso,Tulach More,2019,Biomass Density,NA,THURSO Tulach More
Thurso,Tulach More,2019,ph,NA,THURSO Tulach More
Thurso,Tulach More,2019,conductivity,NA,THURSO Tulach More
Thurso,Tulach More,2020,Numerical Density,NA,THURSO Tulach More
Thurso,Tulach More,2020,Biomass Density,NA,THURSO Tulach More
Thurso,Tulach More,2020,ph,NA,THURSO Tulach More
Thurso,Tulach More,2020,conductivity,NA,THURSO Tulach More
Thurso,Tulach More,2021,Numerical Density,2.29,THURSO Tulach More
Thurso,Tulach More,2021,Biomass Density,5.63,THURSO Tulach More
Thurso,Tulach More,2021,ph,NA,THURSO Tulach More
Thurso,Tulach More,2021,conductivity,NA,THURSO Tulach More
